"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"17881","懂航APP(#201)","/前端APP/个人中心/个人中心-我的话题(#4995)","","","","个人中心：我的提问、我的话题部分统计的帖子消息不能评论和点赞","","1","1","代码错误","全部","全部","[步骤]

[结果]

[期望]
我的-》我的提问（我的话题）-》无法查看评论记录，也无法进行评论、点赞。
具体见截图","已关闭","0000-00-00","0","是","","王良升","2020-03-31","主干(#trunk)","Closed","2020-04-01","赵远东","已解决","主干(#trunk)","2020-03-31","王良升","2020-04-01","0","","","王良升","2020-04-01","ios-我的-帖子.png
",""
"17898","懂航APP(#201)","/管理后台/用户中心/企业用户管理界面(#4905)","","","","无法通过管理平台添加企业用户","","1","1","代码错误","全部","全部","[步骤]
管理平台-》用户中心-》企业机构管理-》新增企业-》管理账号-》下载导入模版-》填好用户数据-》导入保存用户数据的文件
[结果]
系统没反应，导入不成功
[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-31","主干(#trunk)","Closed","2020-04-07","唐艳强","已解决","主干(#trunk)","2020-04-07","王良升","2020-04-07","0","","","王良升","2020-04-07","",""
"18191","懂航APP(#201)","/管理后台/资讯管理(#4901)","","","","管理平台：查看资讯评论，返回的list为空","","1","3","代码错误","","","复现步骤：资讯管理-》资讯信息管理-》查看评论。  评论数据为空
方便复现，选择第一条资讯作为测试数据，里面已存在3条评论","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-10","唐艳强","已解决","主干(#trunk)","2020-04-09","王良升","2020-04-10","0","","","王良升","2020-04-10","资讯-查看评论.png
",""
"18177","懂航APP(#201)","/管理后台/系统管理/消息通知管理列表(#4933)","","","","管理平台：系统通知管理没做到定时发送","","1","2","代码错误","全部","全部","复现步骤：系统管理-》新建消息-》计划发送时间任选一个非当天时间-》点击确认。该消息立刻就会发出去。

","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-09","王良升","延期处理","主干(#trunk)","2020-04-09","王良升","2020-04-09","0","","","王良升","2020-04-09","通知-计划发送2.png
",""
"18181","懂航APP(#201)","/管理后台/课程管理(#4896)","","","","管理平台：添加课程，报系统错误","","1","2","代码错误","全部","全部","复现步骤：课程管理-》课程信息管理-》新增课程-》课程内容（粘贴微信文章）-》点击确认-》提示系统错误，点击取消，但系统又保存成功


课程内容链接：https://mp.weixin.qq.com/s/dX-8zmSemS0jU21esEYhZA


不方便截图，麻烦按照我给的步骤复现一下。","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-14","顾展","不予解决","主干(#trunk)","2020-04-13","王良升","2020-04-14","0","","","王良升","2020-04-14","",""
"18186","懂航APP(#201)","/前端APP/社区中心(#4942)","","","","管理平台：在管理平台筛选帖子评论是，未做到数据筛选","","1","3","代码错误","","","复现步骤：社区管理-》问答专区管理（论坛互动区管理）-》（方便复现，用第一条帖子做测试数据）点击评论 -》关键字输入：-》点击筛选
点击筛选，后台返回的数据依然是所有的评论数据。","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-13","梁春旭","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","评论筛选.png
",""
"18187","懂航APP(#201)","/管理后台/社区管理(#4899)","","","","管理平台：论坛管理","","1","1","代码错误","","","复现步骤：社区管理-》问答专区管理（论坛互动区管理）-》（方便复现，选择第一条帖子做测试数据）点击评论-》点击清空筛选条件-》点击筛选
刚进入评论页面时，里面的评论只有针对该帖子的。点击清空筛选条件后，接口返回的评论数据就是全部帖子的评论了


问答专区和互动专区一样的问题","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-13","梁春旭","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","筛选-清除筛选.png
",""
"18189","懂航APP(#201)","/前端APP/社区中心/001.社区-问答专区(#4962)","","","","管理平台：专家答疑","","1","3","代码错误","","","具体见截图

","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-13","梁春旭","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","专家答疑.png
",""
"18213","懂航APP(#201)","/管理后台/社区管理(#4899)","","","","没有专家答疑时，默认第一条帖子为专家用户","","1","1","代码错误","","","截图有文字说明

","已关闭","0000-00-00","0","是","","王良升","2020-04-10","主干(#trunk)","Closed","2020-04-13","赵远东","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","ios-专家答疑.png
",""
"18218","懂航APP(#201)","/管理后台(#4891)","","","","我的收藏 -》收藏帖子功能列表下数据收藏状态是false  应该全是true","","1","3","代码错误","","","[步骤]

[结果]

[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-04-10","主干(#trunk)","Closed","2020-04-13","唐艳强","已解决","主干(#trunk)","2020-04-11","王良升","2020-04-13","0","","","王良升","2020-04-13","",""
"18221","懂航APP(#201)","/管理后台(#4891)","","","","我的收藏->我的点赞中   社区功能   如果是自己发的帖子    标识self状态一直都是false","","1","3","代码错误","","","具体问android祝右忠","已关闭","0000-00-00","0","是","","王良升","2020-04-10","主干(#trunk)","Closed","2020-04-13","唐艳强","已解决","主干(#trunk)","2020-04-11","王良升","2020-04-13","0","","","王良升","2020-04-13","",""
"18258","懂航APP(#201)","/管理后台/社区管理/专家答疑管理-问答专区版块(#4923)","","","","管理平台：专家答疑","","1","1","代码错误","","","专家答疑信息编辑好，点击发送后。app端没有展示

","激活","0000-00-00","0","否","","王良升","2020-04-13","主干(#trunk)","梁春旭","2020-04-13","","","","0000-00-00","","0000-00-00","0","","","顾展","2020-04-13","",""
"18260","懂航APP(#201)","/前端APP/个人中心/个人中心-浏览历史-只课程(#4990)","","","","app端 我的-》浏览历史","","1","1","代码错误","","","当课程已经浏览过，再浏览时浏览历史没有记载。
具体见截图

","已关闭","0000-00-00","0","是","","王良升","2020-04-13","主干(#trunk)","Closed","2020-04-14","顾展","已解决","主干(#trunk)","2020-04-14","王良升","2020-04-14","0","","","王良升","2020-04-14","浏览历史.png
",""
"18287","懂航APP(#201)","/前端APP/个人中心/个人中心-浏览历史-只课程(#4990)","","","","浏览历史里面，普通课程和名师课程不一样","","1","1","代码错误","","","浏览历史，里面有普通课（图文课），也有名师课。名师课应该是有赞和评论的
具体见截图，有文字说明

","已解决","0000-00-00","0","是","","王良升","2020-04-13","主干(#trunk)","王良升","2020-04-14","赵远东","已解决","主干(#trunk)","2020-04-14","","0000-00-00","0","","","赵远东","2020-04-14","ios-浏览历史.png
",""
"17370","懂航APP(#201)","/管理后台(#4891)","","","","管理平台添加课程无效","","2","2","代码错误","Android","全部","[步骤]
1.课程信息管理。新增课程；
2.填好所有课程信息，点击确认。
[结果]
确认按钮失效，无法创建。
[期望]
课程创建成功","已关闭","0000-00-00","1","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-26","梁春旭","已解决","主干(#trunk)","2020-03-25","王良升","2020-03-26","0","","","王良升","2020-03-26","lALPD2sQqQGn-jnNAmDNBVY_1366_608.png
微信截图_20200325131527.png
",""
"17372","懂航APP(#201)","/管理后台(#4891)","","","","老师专业管理模块 二级标签为空时一级标签仍无法删除","","2","2","代码错误","Android","全部","[步骤]
1.进入后台老师专业管理板块；
2.删除一级标签
[结果]
暂不支持删除一级标签
[期望]
能够删除","已关闭","0000-00-00","0","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-25","梁春旭","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-25","0","","","王良升","2020-03-25","微信截图_20200318155602.png
微信截图_20200321172608.png
",""
"17378","懂航APP(#201)","/管理后台(#4891)","","","","系统通知管理 新建消息功能报错","","2","2","安装部署","全部","全部","[步骤]
1.进入系统通知管理页面；
2.点击新建消息；
3.点击确认
[结果]
系统错误
[期望]
发送成功","已关闭","0000-00-00","0","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-25","梁春旭","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-25","0","","","王良升","2020-03-25","1.png
",""
"17379","懂航APP(#201)","/前端APP(#4892)","","","","后台查看测评结果为空","","2","2","其他","Android","全部","[步骤]
1.进行在线测评
2.后台查看测评结果
[结果]
没有测评结果
[期望]
同步测评结果

","已关闭","0000-00-00","0","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-25","唐艳强","已解决","主干(#trunk)","2020-03-20","王良升","2020-03-25","0","","","王良升","2020-03-25","测评结果查看.jpg
测评结果.png
",""
"17390","懂航APP(#201)","/管理后台(#4891)","","","","添加咨询中咨询内容输入框功能异常","","2","2","代码错误","全部","全部","[步骤]
1.进入后台咨询信息管理，添加咨询；
[结果]
资讯内容超过3行就报错。
[期望]
咨询添加成功","已关闭","0000-00-00","0","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-25","唐艳强","已解决","主干(#trunk)","2020-03-20","王良升","2020-03-25","0","","","王良升","2020-03-25","微信截图_资讯添加.png
",""
"17406","懂航APP(#201)","/管理后台(#4891)","","","","后台的话题评论未做数据筛选","","2","2","代码错误","全部","全部","[步骤]
1.后台进入论坛互动区管理；
2.查看评论；
[结果]
所有话题评论都是总评论数据
[期望]
评论按照话题筛选","已关闭","0000-00-00","1","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-26","梁春旭","已解决","主干(#trunk)","2020-03-25","王良升","2020-03-26","0","","","王良升","2020-03-26","评论1.png
评论2.png
",""
"17412","懂航APP(#201)","/管理后台(#4891)","","","","专家答疑功能无效","","2","2","代码错误","全部","全部","[步骤]
1.后台修改专家答疑，点击确认；
[结果]
1.提示操作成功；但是应用内容无修改
[期望]
后台设置的专家答疑内容，动态绑定到前端页面","已关闭","0000-00-00","0","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-21","唐艳强","已解决","主干(#trunk)","2020-03-20","王良升","2020-03-21","0","","","王良升","2020-03-21","专家答疑管理.png
专家答疑首页.jpg
",""
"17413","懂航APP(#201)","/前端APP(#4892)","","","","IOS端课程专区，课程下拉列表失效","","2","2","代码错误","IOS","safari","[步骤]
1.IOS端点击课程专区板块的查看更多，进入课程专区；
2.展开课程；
[结果]
课程展开以后，无法收回
[期望]
能够展开和收回课程列表。","已关闭","0000-00-00","0","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-25","赵远东","已解决","主干(#trunk)","2020-03-21","王良升","2020-03-25","0","","","王良升","2020-03-25","3B7D10392689346954B1823474DF15B8.png
",""
"17493","懂航APP(#201)","/管理后台(#4891)","","","","后台管理系统bug,二级标签为空时一级标签仍无法删除","","2","2","代码错误","全部","全部","[步骤]
1.删除一级标签，且二级标签为空
[结果]
删除失败
[期望]
删除成功","已关闭","0000-00-00","0","是","","王良升","2020-03-21","主干(#trunk)","Closed","2020-03-25","梁春旭","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-25","0","","","王良升","2020-03-25","微信截图_20200321164812.png
",""
"17499","懂航APP(#201)","/管理后台(#4891)","","","","管理后台删除敏感词功能未实现","","2","2","代码错误","全部","全部","[步骤]
1.使用admin账号，进入管理后台；
2.进入敏感词管理，点击删除敏感词
[结果]
提示无权限
[期望]
实现删除功能","已关闭","0000-00-00","1","是","","王良升","2020-03-21","主干(#trunk)","Closed","2020-04-07","唐艳强","已解决","主干(#trunk)","2020-04-07","王良升","2020-04-07","0","","","王良升","2020-04-07","微信截图_20200321163759.png
微信图片_20200325113149.jpg
",""
"17509","懂航APP(#201)","/管理后台(#4891)","","","","管理平台-》名师信息添加，在老师专长处存在bug","","2","2","代码错误","全部","全部","[步骤]
在管理平台的名师管理里面新增老师
[结果]
在选择老师专长时，存在异常
[期望]
具体见附件视频","已关闭","0000-00-00","0","是","","王良升","2020-03-22","主干(#trunk)","Closed","2020-04-14","唐艳强","已解决","主干(#trunk)","2020-04-11","王良升","2020-04-14","0","","","王良升","2020-04-14","20200322-111420.mp4
",""
"17753","懂航APP(#201)","/前端APP/个人测评/002.个人测评--答题(#4974)","","","","测评答题逻辑判断有误","","2","3","代码错误","全部","全部","[步骤]
复现步骤：综合测评-》只答对一道题，其它题全部用“提示答案”。结束答题
[结果]
提示全部正确，本次测试共计答对1道题，具体见截图
[期望]","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-08","唐艳强","已解决","主干(#trunk)","2020-04-07","王良升","2020-04-08","0","","","王良升","2020-04-08","答题-结果.jpg
",""
"17640","懂航APP(#201)","/管理后台(#4891)","","","","资讯模块后端返回数据为空","","2","2","代码错误","全部","全部","[步骤]
app端进入资讯专区
[结果]
数据为空
[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-25","主干(#trunk)","Closed","2020-03-27","唐艳强","已解决","主干(#trunk)","2020-03-26","王良升","2020-03-27","0","","","王良升","2020-03-27","微信图片_20200325114355.jpg
29CECF27-29EB-4d3c-BE63-E4761054563E.png
48E7ABC8-A745-49a2-83B0-D7E6DC40C98E.png
",""
"17662","懂航APP(#201)","/前端APP(#4892)","","","","首页搜索-》搜索出的资讯内容，出现在课程信息栏里面","","2","3","代码错误","全部","全部","[步骤]
首页搜索资讯
[结果]
搜索到的资讯出现在课程栏里面，而资讯栏为空，具体参照截图
[期望]

","已关闭","0000-00-00","1","是","祝又忠","王良升","2020-03-25","主干(#trunk)","Closed","2020-03-27","唐艳强","已解决","主干(#trunk)","2020-03-26","王良升","2020-03-27","0","","","王良升","2020-03-27","首页搜索.jpg
android搜索资讯.png
ios搜索资讯.png
",""
"17666","懂航APP(#201)","/前端APP(#4892)","","","","管理平台-》每页内容数量与限制数量不一致","","2","2","代码错误","全部","全部","[步骤]
进入管理平台
[结果]
管理平台所有涉及分页的都存在这个问题，初次进入有问题，切换几次每页数量就可以了
[期望]

","已关闭","0000-00-00","1","是","","王良升","2020-03-25","主干(#trunk)","Closed","2020-04-07","梁春旭","无法重现","主干(#trunk)","2020-04-01","王良升","2020-04-07","0","","","王良升","2020-04-07","管理平台每页数量.png
管理平台-分页显示.png
",""
"17690","懂航APP(#201)","/(#0)","","","","管理平台-》论坛互动管理-》筛选功能未实现","","2","3","代码错误","全部","全部","[步骤]
社区管理-》论坛互动区管理-》话题简述-》筛选
[结果]
未达到筛选效果,具体见截图
[期望]
实现模糊查询","已关闭","0000-00-00","0","是","","王良升","2020-03-26","主干(#trunk)","Closed","2020-04-13","梁春旭","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","管理平台论坛筛选.png
管理平台论坛-评论筛选.png
",""
"17699","懂航APP(#201)","/管理后台(#4891)","","","","管理平台-》名师信息管理，老师信息的关注人数，课程管理数为空","","2","2","代码错误","全部","全部","[步骤]
管理平台-》名师信息管理-》“测试专用教师”-》点击查看
[结果]
关注人数为0，课程管理为0，积分为0，具体见截图
[期望]
统计实际人数","已关闭","0000-00-00","0","是","","王良升","2020-03-26","主干(#trunk)","Closed","2020-03-27","唐艳强","已解决","主干(#trunk)","2020-03-26","王良升","2020-03-27","0","","","王良升","2020-03-27","老师课程关注人数-课程管理数.png
",""
"17702","懂航APP(#201)","/管理后台(#4891)","","","","管理平台里，老师的课程（分享次数、点赞、评论）信息都为空","","2","2","代码错误","全部","全部","[步骤]
名师管理-》名师信息管理-》管理课程（测试专用老师）-》编辑（功能测试课）
[结果]
分享、点赞、评论数据为空，具体见截图
[期望]","已关闭","0000-00-00","0","是","","王良升","2020-03-26","主干(#trunk)","Closed","2020-03-27","唐艳强","已解决","主干(#trunk)","2020-03-26","王良升","2020-03-27","0","","","王良升","2020-03-27","名师-课程管理-课程信息.png
",""
"17726","懂航APP(#201)","/管理后台/名师管理/名师资料表(#4915)","","","","多余字段","","2","3","代码错误","全部","全部","[步骤]
[结果]
[期望]
","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-07","梁春旭","已解决","主干(#trunk)","2020-03-27","王良升","2020-04-07","0","","","王良升","2020-04-07","管理平台-课程.png
",""
"17739","懂航APP(#201)","/管理后台/资源平台管理/资源联系列表(#4920)","","","","填写资源联系列表时，填写的内容过多时就报错","","2","2","代码错误","全部","全部","[步骤]

[结果]

[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-08","唐艳强","已解决","主干(#trunk)","2020-04-07","王良升","2020-04-08","0","","","王良升","2020-04-08","资源-资源申请列表.jpg
",""
"17741","懂航APP(#201)","/前端APP/首页/003.综合搜索页(#4956)","","","","首页搜索课程时，搜索出的名师课程缺少点赞和评论功能","","2","2","代码错误","全部","全部","[步骤]
首页搜索课程-》名师课程缺少点赞和评论功能
[结果]

[期望]
截图里有文字描述，详情见截图","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-03-30","赵远东","已解决","主干(#trunk)","2020-03-28","王良升","2020-03-30","0","","","王良升","2020-03-30","ios-搜索课程-名师.jpg
android-搜索课程-名师.jpg
",""
"17743","懂航APP(#201)","/管理后台/资讯管理/资讯类型管理(#4929)","","","","管理平台-》资讯类型管理-》不需要二级标签","","2","3","代码错误","全部","全部","[步骤]

[结果]

[期望]
资讯类型不需要二级标签。截图里有文字描述，详情见截图。需求请与产品沟通","已关闭","0000-00-00","0","是","","王良升","2020-03-27","主干(#trunk)","Closed","2020-04-13","王良升","已解决","主干(#trunk)","2020-04-13","王良升","2020-04-13","0","","","王良升","2020-04-13","管理平台-资讯-二级标签.png
",""
"17841","懂航APP(#201)","/管理后台/资讯管理(#4901)","","","","管理平台添加资讯和资源文章时，课程内容已图文方式编辑时，系统报错。但又创建成功","","2","2","代码错误","全部","全部","[步骤]
管理平台-》资讯管理-》资讯信息管理-》新增资讯-》微信粘贴复制一篇图文类文章作为资讯内容，结果提示错误。但是又创建成功了，该资讯已在app端正常展示出来（资源模块也是一样）
[结果]

[期望]

","已关闭","0000-00-00","0","是","","王良升","2020-03-30","主干(#trunk)","Closed","2020-04-07","唐艳强","无法重现","主干(#trunk)","2020-04-07","王良升","2020-04-07","0","","","王良升","2020-04-07","管理平台-资讯-图文资讯报错.png
",""
"17877","懂航APP(#201)","/前端APP/社区中心(#4942)","","","","社区：屏蔽自己的关注按钮，添加专家答疑关注按钮","","2","3","代码错误","全部","全部","[步骤]

[结果]

[期望]
当帖子是用户自己发的时候，就隐藏关注按钮。
与产品沟通，应该可以关注专家答疑。","已关闭","0000-00-00","1","是","","王良升","2020-03-31","主干(#trunk)","Closed","2020-04-07","唐艳强","已解决","主干(#trunk)","2020-04-07","王良升","2020-04-07","0","","","王良升","2020-04-07","社区-关注自己-专家.jpg
",""
"18182","懂航APP(#201)","/管理后台/名师管理/名师课程管理列表(#4914)","","","","管理平台：查看对老师课程的评论时，评论数据为空","","2","3","代码错误","全部","全部","复现步骤：名师管理-》名师信息管理-》管理课程（方便复测，选择复旦女神-陈果）-》查看评论（《好的孤独》）","已关闭","0000-00-00","0","是","","王良升","2020-04-09","主干(#trunk)","Closed","2020-04-10","唐艳强","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-10","0","","","王良升","2020-04-10","名师课程评论.png
",""
"18212","懂航APP(#201)","/前端APP/个人中心/个人中心-我的收藏(#4987)","","","","收藏的名师课在收藏列表里显示成普通图文课","","2","3","代码错误","","","名师专区-》哈理工扫地僧-王晓琮-》数学建模课-》收藏。然后退回首页，进入我的页面
我的收藏-》选择课程-》查看数学建模课。


为方便复现，测试数据选择的名师专区第一个老师的第一门课


其他，截图上有文字说明

","已关闭","0000-00-00","0","是","","王良升","2020-04-10","主干(#trunk)","Closed","2020-04-13","赵远东","已解决","主干(#trunk)","2020-04-10","王良升","2020-04-13","0","","","王良升","2020-04-13","ios-我的收藏-名师课.png
android-我的收藏-名师课.jpg
",""
"18217","懂航APP(#201)","/管理后台(#4891)","","","","用户自己发的帖子  在我的提问和我的话题里没有数据","","2","3","代码错误","","","


","已关闭","0000-00-00","0","是","","王良升","2020-04-10","主干(#trunk)","Closed","2020-04-13","唐艳强","已解决","主干(#trunk)","2020-04-11","王良升","2020-04-13","0","","","王良升","2020-04-13","",""
"17361","懂航APP(#201)","/前端APP(#4892)","","","","个人中心里的分享懂航功能无效","","3","3","代码错误","Android","全部","[步骤]
1.点击分享懂航；
2.选择分享平台
[结果]
弹出的分享页面无效。无法完成分享
[期望]
成功分享","已关闭","0000-00-00","0","是","","王良升","2020-03-18","主干(#trunk)","Closed","2020-03-25","祝又忠","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-25","0","","","王良升","2020-03-25","",""
"17391","懂航APP(#201)","/前端APP(#4892)","","","","咨询分享功能未实现，ios和android功能不统一","","3","3","代码错误","","","[步骤]
1.进入资源专区，点击分享
[结果]
1.android端分享功能未实现
2.ios端无分享功能
[期望]
功能统一，实现分享功能","已关闭","0000-00-00","0","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-26","祝又忠","已解决","主干(#trunk)","2020-03-23","王良升","2020-03-26","0","","","王良升","2020-03-26","android咨询分享.jpg
ios咨询分享.PNG
",""
"17399","懂航APP(#201)","/管理后台(#4891)","","","","后台 资源联系人提交时间字段为空","","3","3","代码错误","Android","全部","[步骤]
1.进入资源平台信息管理，点击管理联系人；
2.查看提交时间
[结果]
提交时间字段为空
[期望]
捕获用户的提交时间","已关闭","0000-00-00","0","是","","王良升","2020-03-19","主干(#trunk)","Closed","2020-03-21","唐艳强","已解决","主干(#trunk)","2020-03-20","王良升","2020-03-21","0","","","王良升","2020-03-21","提交时间.png
",""
